"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000197747.9",873.767691134072,-0.618105883318427,0.191659425612061,-3.22502210024117,0.00125962944584047,0.00738911442720995
"ENSG00000163191.6",5619.50730655942,-0.251352443710489,0.143465192831812,-1.75200993878115,0.0797720989465114,0.179613308199734
"ENSG00000159450.13",25.4522713435894,2.33493201009796,0.528713299751222,4.41625359376552,1.00426259476938e-05,0.000148748338395014
"ENSG00000197915.7",5.37410321950198,0.737807840505133,0.474536763970739,1.55479595370324,0.119994673126487,0.24246466694022
"ENSG00000163220.11",1061.340088226,-1.02784531493169,0.412196344743808,-2.4935818282681,0.0126461431720764,0.0451529933135037
"ENSG00000143546.10",178.076424208254,-1.56812645920701,0.611706253822667,-2.56352857177361,0.010361417241552,0.0385570727103058
"ENSG00000238279.3",9.19673217377921,1.24728715941506,0.376503301232031,3.31281865347148,0.000923608456464476,0.00578746324892617
"ENSG00000197956.10",4122.93623423014,-0.562004745198978,0.172296081996144,-3.26185446986286,0.00110685951577791,0.00667393864827066
"ENSG00000196154.12",1914.03395548338,-0.72148102391333,0.260430894867798,-2.77033577095212,0.00559985319935039,0.0241398315119787
"ENSG00000188015.10",10.858754616771,1.99406408175844,0.710805078622051,2.80535992458592,0.00502604216594399,0.0221077720012694
"ENSG00000196754.13",4.88412611236394,-1.03656564893356,0.546050024622262,-1.89829796207887,0.0576568422842607,0.141008360249082
"ENSG00000189171.15",22.4688187071867,0.705418160052306,0.341016153053599,2.06857696838024,0.038585801054481,0.104632115769577
"ENSG00000160678.12",13.752518592052,1.50491197256834,0.386644270593019,3.89223916407752,9.93232598088682e-05,0.000948733584724451
"ENSG00000160679.14",460.019746708053,0.0420871836217777,0.105089714279742,0.400488134450001,0.688797021206428,0.805387908343069
"ENSG00000143553.11",197.175886897567,-0.245751315611033,0.14777863382486,-1.66296919419546,0.09631860212609,0.206414044556283
"ENSG00000143621.17",724.121490902324,0.067924158146458,0.0931799624094752,0.728956702600591,0.466028147958102,0.626707716899692
